snapshot_date,name,normalized_website,status,survival_score,signal_coverage,website,category
2026-04-22,Galini,galini.ai,Watchlist,54.5,0.43,https://www.galini.ai/,Security AI
2026-04-22,Riveter,riveterhq.com,Watchlist,47.3,0.43,https://www.riveterhq.com/,Data Infrastructure
2026-04-22,Onlook,onlook.com,Watchlist,53.1,0.57,https://onlook.com/,AI
2026-04-22,DreamRP,dreamrp.com,Watchlist,54.5,0.43,https://www.dreamrp.com/,AI
2026-04-22,Conductor,conductor.build,Healthy,69.1,0.43,https://conductor.build,AI
2026-04-22,PathPilot,getpathpilot.com,Watchlist,47.3,0.43,https://www.getpathpilot.com/,AI
2026-04-22,Affil.ai,affil.ai,Watchlist,47.3,0.43,https://affil.ai/,AI
2026-04-22,Overlap,overlap.ai,Watchlist,60.8,0.57,https://www.overlap.ai,Video AI
2026-04-22,Void,useglass.ai,Likely Dead,44.6,0.57,https://useglass.ai,AI
2026-04-22,Anglera,anglera.com,Watchlist,54.5,0.43,https://www.anglera.com/,Data Infrastructure
2026-04-22,Pipeshift,pipeshift.com,Watchlist,47.3,0.43,https://pipeshift.com,AI
2026-04-22,Vera Health,vera-health.ai,Dormant,42.3,0.57,https://www.vera-health.ai,Healthcare AI
2026-04-22,Keet,trykeet.com,Watchlist,47.3,0.43,https://trykeet.com,AI
2026-04-22,Usul,usul.com,Watchlist,47.3,0.43,https://www.usul.com,AI
2026-04-22,Oway,shipoway.com,Watchlist,47.3,0.43,https://www.shipoway.com,AI
2026-04-22,Voker,voker.ai,Watchlist,47.3,0.43,https://voker.ai,AI Agents
2026-04-22,Rastro,rastro.ai,Watchlist,47.3,0.43,https://rastro.ai,AI
2026-04-22,Quetzal,getquetzal.com,Watchlist,47.3,0.43,https://getquetzal.com/,ML Infrastructure
2026-04-22,Typa,typa.ai,Watchlist,47.3,0.43,https://typa.ai,AI
2026-04-22,"Sterling Labs, Inc",focusbuddy.ai,Watchlist,45.4,0.57,https://www.focusbuddy.ai/?ref=yc,AI
2026-04-22,Orca Launcher,orcalauncher.com,Watchlist,47.3,0.43,https://orcalauncher.com,AI
2026-04-22,Assembly HOA,assemblyhoa.com,Watchlist,45.4,0.57,https://assemblyhoa.com,AI
2026-04-22,Polymet,polymet.ai,Watchlist,47.3,0.43,https://polymet.ai,AI
2026-04-22,Propaya,propaya.com,Watchlist,49.2,0.57,https://www.propaya.com,AI
2026-04-22,ZeroPath,zeropath.com,Healthy,75.4,0.57,https://zeropath.com,AI
2026-04-22,bluedoor,bluedoor.sh,Watchlist,47.3,0.43,https://bluedoor.sh/,AI
2026-04-22,Handled,itshandled.ai,Watchlist,55.4,0.57,https://www.itshandled.ai,AI
2026-04-22,Baseline AI,baselinetrials.com,Likely Dead,24.6,0.57,https://www.baselinetrials.com/,Healthcare AI
2026-04-22,Cartage,cartage.ai,Healthy,67.7,0.57,https://cartage.ai,AI Agents
2026-04-22,Palmier,palmier.io,Watchlist,47.3,0.43,https://www.palmier.io,Go-to-Market AI
2026-04-22,Simple AI,usesimple.ai,Healthy,77.3,0.57,https://www.usesimple.ai,Voice AI
2026-04-22,Sensei,senseirobotics.com,Healthy,69.1,0.43,https://senseirobotics.com,Data Infrastructure
2026-04-22,Presti AI,presti.ai,Watchlist,47.3,0.43,https://www.presti.ai/,AI
2026-04-22,The Forecasting Company,theforecastingcompany.com,Watchlist,56.9,0.57,https://www.theforecastingcompany.com,ML Infrastructure
2026-04-22,Zettascale,zscc.ai,Watchlist,49.2,0.57,https://zscc.ai,AI
2026-04-22,Brighterway,brighterway.ai,Watchlist,49.2,0.57,https://www.brighterway.ai/,Healthcare AI
2026-04-22,Soff,soff.ai,Healthy,69.2,0.57,https://soff.ai,AI
2026-04-22,Parley,parley.so,Watchlist,49.2,0.57,https://parley.so,Legal AI
2026-04-22,Thunder Compute,thundercompute.com,Watchlist,47.3,0.43,https://www.thundercompute.com,AI
2026-04-22,Kura AI,trykura.com,Watchlist,55.4,0.57,https://trykura.com,AI
2026-04-22,Piggy Robotics,piggyrobotics.com,Watchlist,47.3,0.43,https://piggyrobotics.com,AI
2026-04-22,Mage Legal,magelegal.com,Watchlist,49.2,0.57,https://magelegal.com,Legal AI
2026-04-22,winfunc,winfunc.com,Watchlist,49.2,0.57,https://winfunc.com,Security AI
2026-04-22,Seals AI,hireseals.ai,Watchlist,51.5,0.57,https://www.hireseals.ai/,AI
2026-04-22,Drillbit,drillbit.com,Watchlist,49.2,0.57,https://www.drillbit.com,AI
2026-04-22,Sharpe,sharpe.sh,Watchlist,54.5,0.43,https://sharpe.sh,Data Infrastructure
2026-04-22,Planbase,joinplanbase.com,Healthy,77.7,0.57,https://www.joinplanbase.com/,AI
2026-04-22,Clearly AI,clearly-ai.com,Watchlist,47.3,0.43,https://clearly-ai.com,Security AI
2026-04-22,Overstand Labs,overstandlabs.com,Watchlist,61.5,0.57,https://overstandlabs.com,Data Infrastructure
2026-04-22,Ontra Mobility,ontramobility.com,Watchlist,49.2,0.57,https://www.ontramobility.com,AI
2026-04-22,Aluna,alunadata.com,Watchlist,49.2,0.57,https://alunadata.com,Data Infrastructure
2026-04-22,Anthrogen,anthrogen.com,Watchlist,47.3,0.43,https://anthrogen.com,ML Infrastructure
2026-04-22,Benchify,benchify.com,Watchlist,47.3,0.43,https://www.benchify.com,AI
2026-04-22,TaxGPT,taxgpt.com,Thriving,92.7,0.43,https://www.taxgpt.com,AI
2026-04-22,Lighthouz AI,lighthouz.ai,Watchlist,49.2,0.57,https://lighthouz.ai/,AI
2026-04-22,Modus,himodus.com,Healthy,67.7,0.57,https://himodus.com,AI
2026-04-22,Plume,plumefinder.com,Healthy,76.4,0.43,http://www.plumefinder.com,AI
2026-04-22,Stormy AI,stormy.ai,Watchlist,54.5,0.43,https://stormy.ai,Go-to-Market AI
2026-04-22,Gauge,withgauge.com,Healthy,69.1,0.43,https://withgauge.com,AI Agents
2026-04-22,Kenley,kenley.ai,Watchlist,61.8,0.43,https://kenley.ai/,AI
2026-04-22,Tivara,tivara.com,Watchlist,47.3,0.43,https://tivara.com,AI
2026-04-22,Lore,joinlore.app,Healthy,69.1,0.43,https://joinlore.app/,AI
2026-04-22,CodeViz,codeviz.ai,Watchlist,49.2,0.57,https://www.codeviz.ai/,AI
2026-04-22,Elevate,useelevate.dev,Thriving,80.0,0.57,https://www.useelevate.dev/,Data Infrastructure
2026-04-22,Storia AI,storia.ai,Watchlist,54.5,0.43,https://storia.ai,Code AI
2026-04-22,Scape,scape.app,Watchlist,59.2,0.57,https://scape.app,Go-to-Market AI
2026-04-22,Willow,willowvoice.com,Watchlist,61.8,0.43,https://willowvoice.com/,Voice AI
2026-04-22,NetworkOcean,networkocean.io,Watchlist,49.2,0.57,https://networkocean.io/,Data Infrastructure
2026-04-22,Silurian,silurian.ai,Watchlist,54.5,0.43,https://silurian.ai/,ML Infrastructure
2026-04-22,Unbound,getunbound.ai,Watchlist,61.8,0.43,https://getunbound.ai/,Data Infrastructure
2026-04-22,Decisional AI,decisional.com,Watchlist,53.1,0.57,https://www.decisional.com/,AI
2026-04-22,FirstWork,firstwork.com,Watchlist,47.3,0.43,https://firstwork.com,AI
2026-04-22,Sorcerer,sorcerer.earth,Watchlist,61.5,0.57,https://sorcerer.earth,AI
2026-04-22,Wordware,wordware.ai,Watchlist,54.5,0.43,https://wordware.ai/,AI
2026-04-22,Maitai,trymaitai.com,Watchlist,47.3,0.43,https://trymaitai.com,AI
2026-04-22,Corgi Insurance,corgi.insure,Thriving,100.0,0.57,https://corgi.insure,AI
2026-04-22,Sage Care,sagecare.ai,Watchlist,47.3,0.43,https://sagecare.ai,AI
2026-04-22,Codes Health,getcodeshealth.com,Watchlist,45.4,0.57,https://www.getcodeshealth.com/,Healthcare AI
2026-04-22,Entangl,entangl.com,Watchlist,47.3,0.43,https://www.entangl.com/,Data Infrastructure
2026-04-22,ProhostAI,prohost.ai,Watchlist,47.3,0.43,https://www.prohost.ai/,AI
2026-04-22,Educato,educato.com,Watchlist,54.5,0.43,https://www.educato.com/,AI
2026-04-22,Saphira AI,saphira.ai,Watchlist,49.2,0.57,https://saphira.ai,AI
2026-04-22,Mem0,mem0.ai,Thriving,83.6,0.43,https://mem0.ai,AI
2026-04-22,Superunit,superunit.ai,Watchlist,47.3,0.43,http://superunit.ai,AI
2026-04-22,Ångström AI,angstrom-ai.com,Watchlist,49.2,0.57,https://www.angstrom-ai.com,AI
2026-04-22,Marr Labs,marrlabs.com,Watchlist,53.1,0.57,https://www.marrlabs.com/,Voice AI
2026-04-22,Forge Rewards,joinforge.app,Watchlist,54.5,0.43,https://www.joinforge.app/,AI
2026-04-22,Same,same.new,Dormant,40.0,0.43,https://same.new,AI
2026-04-22,GetCrux,getcrux.ai,Watchlist,47.3,0.43,http://getcrux.ai/,AI
2026-04-22,InspectMind AI,inspectmind.ai,Watchlist,55.4,0.57,https://www.inspectmind.ai,AI Agents
2026-04-22,kater.ai,kater.ai,Watchlist,47.3,0.43,https://www.kater.ai,Data Infrastructure
2026-04-22,Integuru,integuru.ai,Watchlist,47.3,0.43,https://www.integuru.ai,AI
2026-04-22,VoxOps AI,voxopsai.com,Likely Dead,18.2,0.43,https://www.voxopsai.com/,Voice AI
2026-04-22,Evolvere BioSciences,evolverebiosciences.com,Watchlist,55.4,0.57,https://www.evolverebiosciences.com/,AI
2026-04-22,Silogy,silogy.io,Watchlist,45.4,0.57,https://silogy.io,AI
2026-04-22,Senso,senso.ai,Watchlist,49.2,0.57,http://www.senso.ai,AI
2026-04-22,Magic Hour,magichour.ai,Watchlist,47.3,0.43,https://magichour.ai,Video AI
2026-04-22,Veles,getveles.com,Watchlist,49.2,0.57,http://www.getveles.com,AI
2026-04-22,Fluently,getfluently.app,Watchlist,55.4,0.57,https://getfluently.app/,AI
2026-04-22,Basepilot,basepilot.com,Watchlist,47.3,0.43,https://www.basepilot.com/,AI
2026-04-22,Aqua Voice,aquavoice.com,Watchlist,53.1,0.57,https://aquavoice.com,Voice AI
2026-04-22,Adapted,adapted.app,Dormant,42.3,0.57,https://adapted.app,AI
2026-04-22,Ocular AI,useocular.com,Watchlist,54.5,0.43,https://useocular.com,Data Infrastructure
2026-04-22,Retell AI,retellai.com,Healthy,66.2,0.57,https://retellai.com,AI
2026-04-22,Rove,rove.com,Watchlist,61.8,0.43,https://rove.com,AI
2026-04-22,Downlink,downlink.dev,Dormant,42.3,0.57,https://downlink.dev/,AI
2026-04-22,Shepherd,shepherd.study,Healthy,76.4,0.43,https://www.shepherd.study,AI
2026-04-22,Openmart,openmart.com,Watchlist,53.1,0.57,https://www.openmart.com,Data Infrastructure
2026-04-22,Alai,getalai.com,Healthy,69.1,0.43,https://getalai.com,AI
2026-04-22,Brainbase Labs,brainbaselabs.com,Watchlist,59.2,0.57,https://brainbaselabs.com,AI
2026-04-22,Focal,focalml.com,Healthy,69.1,0.43,https://focalml.com,Video AI
2026-04-22,Ligo Biosciences,ligo.bio,Watchlist,47.3,0.43,https://www.ligo.bio,Design AI
2026-04-22,Model ML,modelml.com,Healthy,73.8,0.57,https://www.modelml.com/,ML Infrastructure
2026-04-22,BetterBasket,betterbasket.com,Watchlist,47.3,0.43,http://www.betterbasket.com,AI
2026-04-22,Risotto,tryrisotto.com,Healthy,69.1,0.43,https://tryrisotto.com,AI
2026-04-22,Diana,getdiana.com,Watchlist,54.2,0.57,https://getdiana.com/,AI
2026-04-22,Raindrop,raindrop.ai,Healthy,76.4,0.43,https://www.raindrop.ai,AI
2026-04-22,Manifold Freight,manifoldfreight.com,Dormant,42.3,0.57,https://www.manifoldfreight.com/,AI
2026-04-22,OffDeal,offdeal.io,Watchlist,61.5,0.57,https://offdeal.io,AI
2026-04-22,Overeasy,overeasy.sh,Likely Dead,17.1,0.29,https://overeasy.sh/,AI
2026-04-22,Andy AI,with-andy.com,Watchlist,61.8,0.43,https://with-andy.com,Healthcare AI
2026-04-22,Conduit,conduit.ai,Healthy,69.1,0.43,https://conduit.ai/?utm_source=referral&utm_medium=organic&utm_campaign=ycombinator,AI
2026-04-22,Preloop,preloop.com,Likely Dead,13.3,0.43,https://www.preloop.com,AI
2026-04-22,Superagent,superagent.sh,Healthy,67.7,0.57,https://superagent.sh/,AI
2026-04-22,SevnAI,sevn.ai,Watchlist,47.3,0.43,https://sevn.ai/,AI
2026-04-22,Ellipsis,ellipsis.dev,Watchlist,47.3,0.43,https://ellipsis.dev,Code AI
2026-04-22,Solari AI,usesolari.ai,Watchlist,49.2,0.57,https://www.usesolari.ai/,AI
2026-04-22,Centralize,usecentralize.com,Watchlist,47.3,0.43,https://www.usecentralize.com/,AI
2026-04-22,phospho,phospho.ai,Watchlist,49.2,0.57,https://phospho.ai,AI
2026-04-22,Firebender,firebender.com,Watchlist,47.3,0.43,https://firebender.com,AI Agents
2026-04-22,Aether,tryaether.co,Healthy,69.1,0.43,https://www.tryaether.co/,Go-to-Market AI
2026-04-22,Fuse,fuseinsight.com,Healthy,69.1,0.43,http://www.fuseinsight.com,Healthcare AI
2026-04-22,PandasAI,pandas-ai.com,Watchlist,47.3,0.43,https://pandas-ai.com,Data Infrastructure
2026-04-22,14.ai,14.ai,Likely Dead,44.6,0.57,https://14.ai,AI Agents
2026-04-22,Tamarind Bio,tamarind.bio,Healthy,69.2,0.57,https://www.tamarind.bio,AI
2026-04-22,Decipher AI,getdecipher.com,Watchlist,49.2,0.57,https://getdecipher.com,AI
2026-04-22,Respan,respan.ai,Thriving,93.8,0.57,https://respan.ai,AI
2026-04-22,Meticulate,meticulate.ai,Watchlist,47.3,0.43,https://meticulate.ai/,Go-to-Market AI
2026-04-22,Tusk,usetusk.ai,Watchlist,47.3,0.43,https://usetusk.ai,AI Agents
2026-04-22,TokenOwl,tokenowl.ai,Watchlist,49.2,0.57,https://tokenowl.ai,AI
2026-04-22,Ecliptor,ecliptor.ai,Watchlist,49.2,0.57,https://ecliptor.ai,AI
2026-04-22,Greenboard,greenboard.com,Healthy,65.4,0.57,https://www.greenboard.com,AI
2026-04-22,Eggnog,eggnog.ai,Healthy,73.8,0.57,https://www.eggnog.ai,Video AI
2026-04-22,Arini,arini.ai,Watchlist,55.4,0.57,https://www.arini.ai,AI
2026-04-22,AveryIQ,callavery.com,Watchlist,54.5,0.43,https://callavery.com,AI
2026-04-22,Agentic Labs,agenticlabs.com,Watchlist,47.3,0.43,https://agenticlabs.com,Design AI
2026-04-22,nCompass Technologies,ncompass.tech,Watchlist,54.5,0.43,https://www.ncompass.tech,AI
2026-04-22,Pretzel AI,withpretzel.com,Watchlist,47.3,0.43,https://withpretzel.com,AI
2026-04-22,Reducto,reducto.ai,Thriving,81.5,0.57,https://reducto.ai,AI
2026-04-22,Andon Labs,andonlabs.com,Watchlist,61.5,0.57,https://andonlabs.com/,AI Agents
2026-04-22,Poka Labs,pokalabs.com,Watchlist,47.3,0.43,https://www.pokalabs.com/,AI
2026-04-22,Nuanced,nuanced.dev,Watchlist,47.3,0.43,https://www.nuanced.dev/,AI
2026-04-22,Tracecat,tracecat.com,Watchlist,47.3,0.43,https://tracecat.com,Security AI
2026-04-22,Sonia,soniahealth.com,Watchlist,47.3,0.43,https://soniahealth.com,Healthcare AI
2026-04-22,Duckie,duckie.ai,Watchlist,47.3,0.43,https://duckie.ai/,AI
2026-04-22,Happenstance,happenstance.ai,Watchlist,61.5,0.57,https://happenstance.ai,AI Search
2026-04-22,Greptile,greptile.com,Healthy,70.9,0.43,https://www.greptile.com,Code AI
2026-04-22,ego,egoai.com,Watchlist,61.5,0.57,https://egoai.com,AI
2026-04-22,Legora,legora.com,Healthy,76.4,0.43,https://www.legora.com/,AI
2026-04-22,Scritch,scritchai.com,Watchlist,47.3,0.43,https://www.scritchai.com,AI
2026-04-22,DryMerge,drymerge.com,Watchlist,53.1,0.57,https://www.drymerge.com,Go-to-Market AI
2026-04-22,Navier AI,navier.ai,Healthy,76.4,0.43,http://navier.ai,AI Agents
2026-04-22,Upsolve AI,upsolve.ai,Watchlist,56.8,0.43,https://upsolve.ai/,AI
2026-04-22,Letterbook,letterbook.ai,Watchlist,47.3,0.43,https://www.letterbook.ai/,AI
2026-04-22,Orbio Earth,orbio.earth,Watchlist,54.5,0.43,https://www.orbio.earth/,AI
2026-04-22,jo,askjo.ai,Watchlist,49.2,0.57,https://askjo.ai,AI
2026-04-22,Tempo,tempo.new,Healthy,69.1,0.43,https://www.tempo.new,AI
2026-04-22,Cognitio Labs,cognitioiq.com,Watchlist,47.3,0.43,https://cognitioiq.com,AI
2026-04-22,truemetrics,truemetrics.io,Watchlist,49.2,0.57,https://www.truemetrics.io/,AI
2026-04-22,Wattson Health,wattsonhealth.com,Watchlist,47.3,0.43,https://www.wattsonhealth.com,Healthcare AI
2026-04-22,Morph,morphllm.com,Watchlist,61.8,0.43,https://morphllm.com,AI
2026-04-22,Nowadays,nowadays.ai,Watchlist,54.5,0.43,http://nowadays.ai/,AI
2026-04-22,Waldium,waldium.com,Watchlist,49.2,0.57,https://www.waldium.com/,AI
2026-04-22,Mocha,getmocha.com,Watchlist,54.5,0.43,https://getmocha.com,AI
2026-04-22,Simbie AI,simbie.ai,Watchlist,61.5,0.57,http://www.simbie.ai,AI
2026-04-22,AiSDR,aisdr.com,Watchlist,59.3,0.71,https://aisdr.com/,Go-to-Market AI
2026-04-22,Giga,giga.ai,Thriving,100.0,0.43,https://giga.ai/,AI Agents
2026-04-22,Inconvo,inconvo.com,Watchlist,49.2,0.57,https://inconvo.com,Data Infrastructure
2026-04-22,Roame,roame.travel,Watchlist,47.3,0.43,https://roame.travel/,AI Search
2026-04-22,dili,dili.com,Watchlist,47.3,0.43,https://www.dili.com,Security AI
2026-04-22,Webhound,webhound.ai,Watchlist,49.2,0.57,https://webhound.ai,AI
2026-04-22,Cair Health,cairhealth.com,Watchlist,45.4,0.57,https://www.cairhealth.com/,Healthcare AI
2026-04-22,Quill Bills,quillbills.com,Watchlist,49.2,0.57,https://quillbills.com,Healthcare AI
2026-04-22,Strada,getstrada.com,Watchlist,49.2,0.57,https://www.getstrada.com/,AI
2026-04-22,Minded,minded.com,Healthy,69.1,0.43,https://www.minded.com/,AI
2026-04-22,Terracotta AI,tryterracotta.com,Watchlist,54.5,0.43,https://tryterracotta.com,Code AI
2026-04-22,Cedalio,cedalio.com,Watchlist,49.2,0.57,https://cedalio.com/,AI
2026-04-22,Langdock,langdock.com,Watchlist,55.4,0.57,https://langdock.com,AI
2026-04-22,sudocode,sudocode.ai,Watchlist,54.5,0.43,https://sudocode.ai,AI
2026-04-22,Sweep,sweep.dev,Likely Dead,56.9,0.57,https://sweep.dev/,AI
2026-04-22,Silimate,silimate.com,Watchlist,55.4,0.57,https://www.silimate.com,AI
2026-04-22,Andromeda Surgical,andromedasurgical.com,Watchlist,49.2,0.57,http://www.andromedasurgical.com,AI Agents
2026-04-22,DisputeNinja,disputeninja.ai,Watchlist,47.3,0.43,https://www.disputeninja.ai,AI
2026-04-22,Baserun,baserun.ai,Likely Dead,13.3,0.43,https://baserun.ai,ML Infrastructure
2026-04-22,Sola,sola-solutions.com,Watchlist,52.3,0.57,https://www.sola-solutions.com/,AI
2026-04-22,Rankai,rankai.ai,Watchlist,47.3,0.43,https://rankai.ai/,AI
2026-04-22,Inlet,inletai.com,Watchlist,47.3,0.43,https://inletai.com,AI
2026-04-22,Slicker,slickerhq.com,Watchlist,47.3,0.43,https://www.slickerhq.com,AI
2026-04-22,Gleam,joingleam.com,Watchlist,47.3,0.43,https://joingleam.com,Healthcare AI
2026-04-22,sizeless,sizeless.co,Watchlist,47.3,0.43,https://www.sizeless.co,AI
2026-04-22,Continue,continue.dev,Likely Dead,56.9,0.57,https://continue.dev,AI
2026-04-22,Respaid,respaid.com,Watchlist,54.5,0.43,https://www.respaid.com,AI
2026-04-22,MediSearch,medisearch.io,Watchlist,55.4,0.57,https://medisearch.io,Healthcare AI
2026-04-22,Numen,numen.com,Watchlist,47.3,0.43,https://www.numen.com,AI
2026-04-22,Decoda Health,decodahealth.com,Watchlist,61.5,0.57,https://decodahealth.com/,Healthcare AI
2026-04-22,Skyvern,skyvern.com,Watchlist,54.5,0.43,https://www.skyvern.com/,AI Agents
2026-04-22,Rocketeer,rocketeer.build,Watchlist,49.2,0.57,https://rocketeer.build,Code AI
2026-04-22,Serra,serra.io,Healthy,66.9,0.57,https://www.serra.io/,AI
2026-04-22,Arcimus,arcimus.com,Watchlist,49.2,0.57,https://www.arcimus.com/,AI
2026-04-22,Bronco AI,bronco.ai,Watchlist,54.5,0.43,https://www.bronco.ai/,Design AI
2026-04-22,Venta AI,getventa.ai,Watchlist,47.3,0.43,https://www.getventa.ai,Go-to-Market AI
2026-04-22,Alguna,alguna.com,Watchlist,54.5,0.43,https://alguna.com,AI
